Banks,General Citizens,Senior Citizens
AU Small Finance Bank,7.25%,7.75%
Axis Bank,7.00%,7.75%
Bandhan Bank,7.00%,7.50%
Bank of Baroda,6.50% – 6.80%,7.40% – 7.50%
Bank of India,6.00%,6.75% (6.90% for super senior citizens)
Bank of Maharashtra,6.50%,7.00%
Capital Small Finance Bank Limited,7.10%,7.60%
Central Bank of India,6.50%,7.00%
DCB Bank,7.40%,7.90%
Federal Bank,6.60%,7.25%
HDFC Bank,7.00%,7.50%
ICICI Bank,7.00%,7.50%
IDBI Bank,6.50%,7.00%
IDFC First Bank,6.75%,7.25%
Indian Bank,6.10% – 6.25%,6.60% – 6.75%
Indian Overseas Bank,6.50%,7.00%
IndusInd Bank,7.25%,7.75%
Jammu & Kashmir Bank,6.50%,7.00%
Jana Small Finance Bank,8.20%,8.20%
Karnataka Bank,6.50%,6.90%
Kotak Mahindra Bank,6.20%,6.70%
Karur Vysya Bank,5.90%,5.90%
Punjab & Sind Bank,6.00%,6.50%
RBL Bank,7.10%,7.60%
SBM Bank India,7.75%,8.25%
Shivalik Small Finance Bank Limited,6.50%,7.00%
South Indian Bank,6.00%,6.50%
State Bank of India,6.50%,7.50%
Suryoday Small Finance Bank,8.25%,8.75%
Tamilnad Mercantile Bank,6.50%,7.00%
UCO Bank,6.20%,6.70%
Ujjivan Small Finance Bank,7.20%,7.70%
Union Bank of India,6.50%,7.00%
Utkarsh Small Finance Bank,7.50%,8.10%
